topic_id,date,topic_order,title,section_type
2024-05-07-T-001,2024-05-07,1,Policy on Charging Patients who Choose Different Ward Classes for Different Hospital Stays,OA
2024-05-07-T-002,2024-05-07,2,Measures to Improve Safety on the Roads and Increase Penalties following Recent Spate of Fatal Accidents,OA
2024-05-07-T-003,2024-05-07,3,"Visit by King of Malaysia, His Majesty Sultan Ibrahim ",OS
2024-05-07-T-004,2024-05-07,4,Measures to Improve Safety on the Roads and Increase Penalties following Recent Spate of Fatal Accidents,OA
2024-05-07-T-005,2024-05-07,5,Measures to Prevent Speeding and Reckless Driving Especially at Accident-prone Junctions,OA
2024-05-07-T-006,2024-05-07,6,Support for Employers and Employees Affected by Requirement for Companies to Fairly Consider Flexi-work Requests,OA
2024-05-07-T-007,2024-05-07,7,ACRA (Registry and Regulatory Enhancements) Bill,BI
2024-05-07-T-008,2024-05-07,8,Corporate Service Providers Bill,BI
2024-05-07-T-009,2024-05-07,9,Companies and Limited Liability Partnerships (Miscellaneous Amendments) Bill,BI
2024-05-07-T-010,2024-05-07,10,Cybersecurity (Amendment) Bill,BP
2024-05-07-T-011,2024-05-07,11,Supporting Breastfeeding Mothers at Workplaces,OS
2024-05-07-T-012,2024-05-07,12,Probe into Recent Mobile Guardian Data Breach Incident and Impact on Cybersecurity Measures for School Apps,WANA
2024-05-07-T-013,2024-05-07,13,Potential Violations in Recent Mobile Guardian Data Breach Incident,WANA
2024-05-07-T-014,2024-05-07,14,"Ensuring Safety of Residents, Including Students and Workers who Work Outdoors Given Record UV Index Levels",WANA
2024-05-07-T-015,2024-05-07,15,Legislation to Detect and Act Against Fraud in Renovation Disputes,WANA
2024-05-07-T-016,2024-05-07,16,"Review of Safety Measures for Loading of Cranes, Especially Near Public Roads",WANA
2024-05-07-T-017,2024-05-07,17,Transport Safety Investigation Bureau's Probe into Crash of Singapore-registered Container Vessel at Baltimore Bridge,WANA
2024-05-07-T-018,2024-05-07,18,Extension of SportCares Programme to Facilitate Rehabilitation of Juvenile Delinquents,WANA
2024-05-07-T-019,2024-05-07,19,Percentage of Students in Each Annual Cohort who Attain International Baccalaureate Diploma,WANA
2024-05-07-T-020,2024-05-07,20,Data on Rejections to Applications for Private Medical Insurance,WANA
2024-05-07-T-021,2024-05-07,21,Rationale for Planned Expansion of Woodlands Checkpoint,WANA
2024-05-07-T-022,2024-05-07,22,Regulation of Licensed Money Lenders' Loan Repayment Terms for Low-income Borrowers,WANA
2024-05-07-T-023,2024-05-07,23,Complaints Received on Indirect Discrimination and Denial of Reasonable Accommodations at Workplaces,WANA
2024-05-07-T-024,2024-05-07,24,Applications to List One Spouse as Owner and the Other as Essential Occupier in HDB Flat Purchase or Change of Ownership,WANA
2024-05-07-T-025,2024-05-07,25,Regulation of Discretionary Decisions for Capital Allocations of Index-linked Funds,WANA
2024-05-07-T-026,2024-05-07,26,Review of Grants for Provision of Non-Tamil Indian Languages through Board of Teaching and Testing of South Asian Languages,WANA
2024-05-07-T-027,2024-05-07,27,Percentage of Singaporean Travellers who eRegister with Ministry of Foreign Affairs,WANA
2024-05-07-T-028,2024-05-07,28,"Training for Healthcare Professionals Who Support Patients Who Are Neurodivergent or Have Disabilities, and Their Families",WANA
2024-05-07-T-029,2024-05-07,29,Enforcement against Errant Hairdressing Salons for Unfair or Improper Sales Practices,WANA
2024-05-07-T-030,2024-05-07,30,Programmes to Assist Migrant Workers Manage Their Finances Responsibly,WANA
2024-05-07-T-031,2024-05-07,31,Professional Liability Insurance for Childminders Given Trial Run of Childminding Service,WANA
2024-05-07-T-032,2024-05-07,32,Appointment of Returning Officer for Singapore's Presidential and Parliamentary Elections,WANA
2024-05-07-T-033,2024-05-07,33,Monitoring Adoption of Flexible Work Arrangement Guidelines by Healthcare Institutions,WANA
2024-05-07-T-034,2024-05-07,34,Consumer Protection and Anti-scam Safeguards for Users of E-commerce Platforms,WANA
2024-05-07-T-035,2024-05-07,35,Rise in Resident Employment Attributable to Non-residents Becoming Residents,WANA
2024-05-07-T-036,2024-05-07,36,Utilisation Rates of Sport Facilities under Dual-Use Scheme,WANA
2024-05-07-T-037,2024-05-07,37,"Investigations into ""99-to-1"" Arrangement for Stamp Duty Payment for Property Purchases",WANA
2024-05-07-T-038,2024-05-07,38,Measures to Ensure Safety and Security at Places of Worship,WANA
2024-05-07-T-039,2024-05-07,39,Companies with More Than 30% of Foreign PMETs and Those with More Than 20% of PMETs of a Single Foreign Nationality,WANA
2024-05-07-T-040,2024-05-07,40,Requests for Voluntary Early Redevelopment Scheme to Redevelop Aged Housing Estates,WANA
2024-05-07-T-041,2024-05-07,41,Use of Data Analytics to Ascertain Accident Risks at Roads and Traffic Junctions,WANA
2024-05-07-T-042,2024-05-07,42,Enhancing Penalties against Bank Employees who Engage in Poor or Misleading Sales and Advisory Practices,WANA
2024-05-07-T-043,2024-05-07,43,Impact of Temperature Hikes on Rate of Heat Injuries and Hydration amongst Students,WANA
2024-05-07-T-044,2024-05-07,44,Enhanced Version of Estate Upgrading Programme for Older Private Estates to Improve Senior-friendly Features,WANA
2024-05-07-T-045,2024-05-07,45,Proposal for Household Income Assessment for Residential Long-term Care Subsidies to Exclude Variable Earnings,WANA
2024-05-07-T-046,2024-05-07,46,Remuneration for Those who Contribute Works for National Multimodal Large Language Model Programme,WANA
2024-05-07-T-047,2024-05-07,47,Harassment of Migrant Domestic Workers' Employers by Moneylenders,WANA
2024-05-07-T-048,2024-05-07,48,Update on Development Plans for Marina Bay Golf Course,WANA
2024-05-07-T-049,2024-05-07,49,Ensuring Compliance with Enhanced Measures to Protect Workers from Risk of Heat Stress,WANA
2024-05-07-T-050,2024-05-07,50,Appeals for Unsuccessful Applications for HDB Flat Eligibility Letters,WANA
2024-05-07-T-051,2024-05-07,51,Raising Awareness amongst Singaporean Travellers on What To Do when Faced With Emergencies while Overseas,WANA
2024-05-07-T-052,2024-05-07,52,Publishing Numbers of Citizens and PRs Who Have Registered Foreign Address or Been Overseas for at Least 12 Months,WANA
2024-05-07-T-053,2024-05-07,53,Skills Upgrade for Self-employed Arts Service Providers to Meet Requirements in New Arts Council Framework,WANA
2024-05-07-T-054,2024-05-07,54,Requiring Social Media Platforms to Collect Real Names to Facilitate Scam Investigations,WANA
2024-05-07-T-055,2024-05-07,55,False Declarations of Addresses for Migrant Workers,WANA
2024-05-07-T-056,2024-05-07,56,Number of Schools in Dual-Use Scheme,WANA
2024-05-07-T-057,2024-05-07,57,Progress of Work by National Wellness Committee for Junior Doctors,WANA
2024-05-07-T-058,2024-05-07,58,Key Messages in Recent Briefings to International Banks and Plans to Tighten Anti-money Laundering Regulations,WANA
2024-05-07-T-059,2024-05-07,59,Public Education for Online Sellers of Personal Mobility Aids Given Upcoming Changes to Regulations,WANA
2024-05-07-T-060,2024-05-07,60,Ensuring Diversity in Youth Panels that Examine Government Policies,WANA
2024-05-07-T-061,2024-05-07,61,Effective Measures to Deter Unfair Practices by Hairdressing Salons,WANA
2024-05-07-T-062,2024-05-07,62,"Extending Award for Nurses' Grace, Excellence and Loyalty Scheme to Encourage Retention of Nurses",WANA
2024-05-07-T-063,2024-05-07,63,"Average, 25th and 75th Percentile of Rents at Hawker Centres Operated by NEA and Socially-conscious Enterprises",WANA
2024-05-07-T-064,2024-05-07,64,Anti-Scam Centre as One-stop Centre for Scam Victims to Inform All Banks About Freezing of Bank Accounts,WANA
2024-05-07-T-065,2024-05-07,65,Fire Incidents Caused By Over-charging of Personal Mobility Devices’ Batteries,WANA
2024-05-07-T-066,2024-05-07,66,"Maintenance of Rental Levels to Preserve Cultural Identity in Places Like Chinatown, Kampong Glam and Little India",WANA
2024-05-07-T-067,2024-05-07,67,Submission of Skills Transfer Roadmaps by Companies That Receive More Than $5 million in Government Grants,WANA
2024-05-07-T-068,2024-05-07,68,Programmes that Support Skills Transfer by Foreign Specialists Working in Singapore,WANA
2024-05-07-T-069,2024-05-07,69,Supporting Revival of Trishaw Services to Preserve Culture and Heritage,WANA
2024-05-07-T-070,2024-05-07,70,Update on Redevelopment Works and Opening Dates for Singapore Art Museum's Two Sites at Bras Basah Area,WANA
2024-05-07-T-071,2024-05-07,71,"Digital Platform for Collaborative Sharing of Money Laundering, Terrorism and Proliferation Financing Information",WANA
2024-05-07-T-072,2024-05-07,72,Holding Taxi and Platform Operators Rather Than Drivers Accountable for New Operational Disruption Standards,WANA
2024-05-07-T-073,2024-05-07,73,Development of Clinical Practice Guidelines for Managing Perimenopausal and Menopausal Symptoms,WANA
2024-05-07-T-074,2024-05-07,74,Facilitating Cross-learning of Anti-scam Best Practices among E-commerce Platforms,WANA
2024-05-07-T-075,2024-05-07,75,Progress for Tripartite Advisory on Reasonable Accommodations for Persons with Disabilities,WANA
2024-05-07-T-076,2024-05-07,76,Roll-out of Smart Parking Initiative Parking@HDB,WANA
2024-05-07-T-077,2024-05-07,77,Regulation of Financial Advisers who Advertise Their Estate Planning and Investment Services in Heartlands,WANA
2024-05-07-T-078,2024-05-07,78,Annual Number of Marriages that Involve Parties under 18 Years of Age,WANA
2024-05-07-T-079,2024-05-07,79,Measures to Enhance Insurance Protection and Coverage for SMEs,WA
2024-05-07-T-080,2024-05-07,80,Next Review of Outpatient Medical and Dental Expense Reimbursement for Civil Servants,WA
2024-05-07-T-081,2024-05-07,81,Plans to Supplement Manpower Needs at ServiceSG Centres,WA
2024-05-07-T-082,2024-05-07,82,Regulation of Charges by Banks and Payment Service Providers on Merchants using PayNow for Transactions,WA
2024-05-07-T-083,2024-05-07,83,Implementation of Flexible Work Arrangements by Public Service Division,WA
2024-05-07-T-084,2024-05-07,84,Number of Voters in 2023 Presidential Election Whose Names were Restored to Register of Electors,WA
2024-05-07-T-085,2024-05-07,85,Third-party Independent Panel for Appeals on Discriminatory Practices in Insurance Provision for Disabled and Neurodivergent Persons,WA
2024-05-07-T-086,2024-05-07,86,Use of Strong Currency to Manage Imported Inflation and Export Competitiveness,WA
2024-05-07-T-087,2024-05-07,87,Top 5% Earners' Contribution to Total Income Tax for Years of Assessment 2021 to 2023,WA
2024-05-07-T-088,2024-05-07,88,"Tax Avoidance Cases Found and Amounts Clawed Back under ""99-to-1"" Arrangement for Property Purchases",WA
2024-05-07-T-089,2024-05-07,89,Impact of Escalating Middle East Tensions on Singapore,WA
2024-05-07-T-090,2024-05-07,90,Considerations for PR or Singapore Citizenship for Foreign Wives on Long-Term Visit Passes upon Divorce or Demise of Spouse,WA
2024-05-07-T-091,2024-05-07,91,Platforms and Incentives to Promote Road Safety and Responsible Road Use,WA
2024-05-07-T-092,2024-05-07,92,Expenses Incurred to Preserve Assets Seized in One of Largest Anti-money Laundering Operations,WA
2024-05-07-T-093,2024-05-07,93,Traffic Accidents Involving Foreign-registered Vehicles and Recourse for Local Motorists with Difficulty Making Insurance Claims,WA
2024-05-07-T-094,2024-05-07,94,Enforcement Actions Against Motorists Who Fail to Slow Down at Pedestrian Crossings,WA
2024-05-07-T-095,2024-05-07,95,Leveraging Installation of Smart Electricity Meters to Also Offer Alert Services for Seniors Living Alone,WA
2024-05-07-T-096,2024-05-07,96,Progress and Challenges of Facilitating Singapore Companies' Expansion into ASEAN,WA
2024-05-07-T-097,2024-05-07,97,Leveraging Installation of Smart Water Meters to Also Make Available Alert Services for Seniors Living Alone,WA
2024-05-07-T-098,2024-05-07,98,Enhancing Dengue Awareness Among Seniors and Stepping up Screening at Hot Spots,WA
2024-05-07-T-099,2024-05-07,99,Ensuring Safety of Seafood Products Brought In by Travellers for Personal Consumption,WA
2024-05-07-T-100,2024-05-07,100,Mitigating Disruptions and Ensuring Equity for Senior Education Personnel in School Rotations,WA
2024-05-07-T-101,2024-05-07,101,Additional Measures to Ensure Students Stay Safe While Engaging in Outdoor Activities in Hot Weather Conditions,WA
2024-05-07-T-102,2024-05-07,102,Encouraging Food Operators to Offer Healthier Meal Options and Refrain from Marketing Unhealthy Meal Sets to Students,WA
2024-05-07-T-103,2024-05-07,103,Inclusion of Menstrual Health in School Sexuality Education Curriculum,WA
2024-05-07-T-104,2024-05-07,104,Resumption of Booking of North View Primary School's Indoor Sports Hall under Dual-Use Scheme,WA
2024-05-07-T-105,2024-05-07,105,Ensuring Data Security Following Data Breach of Mobile Guardian’s User Management Portal,WA
2024-05-07-T-106,2024-05-07,106,Application Rates for Co-educational and Single-gender Schools from 1980 to 2020,WA
